"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.678800849666883E9,"2023-03-14 14:34:09.667 UTC+01:00"
"PAUSE",5.051294737500001E1,1.678800900179324E9,"2023-03-14 14:35:00.179 UTC+01:00"
