"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.678800294011858E9,"2023-03-14 14:24:54.012 UTC+01:00"
"PAUSE",5.616817325004376E1,1.678800350179268E9,"2023-03-14 14:25:50.179 UTC+01:00"
