"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
7.400855833E-1,-1.591583252E0,-4.021866989E1,-3.119589996E1,5.092404854E1
7.501395833E-1,-2.513130188E0,-4.094902420E1,-3.017286682E1,5.092681316E1
7.601945833E-1,-3.310791016E0,-4.185223770E1,-2.888980103E1,5.096265045E1
7.702485833E-1,-3.970237732E0,-4.258723068E1,-2.747283173E1,5.083494357E1
7.803035833E-1,-4.630920410E0,-4.355463028E1,-2.603989410E1,5.095613140E1
7.903575833E-1,-5.292297363E0,-4.430396652E1,-2.431095123E1,5.081212661E1
8.004115833E-1,-5.881172180E0,-4.514540482E1,-2.241671753E1,5.074647758E1
8.104665833E-1,-6.323921204E0,-4.599052811E1,-2.051629639E1,5.075469508E1
8.205205833E-1,-6.788894653E0,-4.690530777E1,-1.801790619E1,5.070347060E1
8.305755833E-1,-7.084075928E0,-4.759565353E1,-1.535665894E1,5.051096258E1
8.406295833E-1,-7.171119690E0,-4.862331009E1,-1.225407410E1,5.065386040E1
8.506845833E-1,-7.008064270E0,-4.918760300E1,-8.815635681E0,5.046036748E1
8.607385833E-1,-6.453842163E0,-4.973842239E1,-5.199417114E0,5.042416761E1
8.707925833E-1,-5.464889526E0,-4.990954971E1,-1.441146851E0,5.022852849E1
8.808475833E-1,-4.093688965E0,-4.995411301E1,2.360382080E0,5.017711729E1
8.909015833E-1,-2.375503540E0,-4.972253036E1,5.985404968E0,5.013779129E1
9.009565833E-1,-3.149337769E-1,-4.913689041E1,9.898208618E0,5.012492111E1
9.110105833E-1,1.894836426E0,-4.799885941E1,1.376705933E1,4.997011939E1
9.210655833E-1,4.509368896E0,-4.660470963E1,1.735160828E1,4.993407331E1
9.311195833E-1,7.260398865E0,-4.468346786E1,2.084431458E1,4.983784849E1
9.411745833E-1,1.023553467E1,-4.257926559E1,2.411231995E1,4.999163932E1
9.512285833E-1,1.305326843E1,-3.981383896E1,2.702481079E1,4.985849965E1
9.612825833E-1,1.585624695E1,-3.680347824E1,2.977819824E1,4.992652270E1
9.713375833E-1,1.846366882E1,-3.345399094E1,3.205976868E1,4.987890680E1
9.813915833E-1,2.077743530E1,-2.992095566E1,3.395809937E1,4.980078230E1
9.914465833E-1,2.324287415E1,-2.617829895E1,3.538233948E1,4.977393375E1
1.001500583E0,2.550958252E1,-2.225440216E1,3.641279602E1,4.971809459E1
1.011555583E0,2.765005493E1,-1.811134720E1,3.707640076E1,4.967097672E1
1.021609583E0,2.970191956E1,-1.400548935E1,3.739952087E1,4.977029153E1
1.031664583E0,3.107234192E1,-9.823703766E0,3.772096252E1,4.984843630E1
1.041718583E0,3.220559692E1,-5.856040955E0,3.765873718E1,4.989663491E1
1.051772583E0,3.280044556E1,-1.826000214E0,3.754483032E1,4.988805257E1
1.061827583E0,3.327194214E1,1.915359497E0,3.720225525E1,4.994695718E1
1.071881583E0,3.326113892E1,5.183042526E0,3.689219666E1,4.994198100E1
1.081936583E0,3.301094055E1,8.353946686E0,3.668847656E1,5.005551852E1
1.091990583E0,3.240203857E1,1.150184631E1,3.637197876E1,5.005102807E1
1.102045583E0,3.182521057E1,1.431534767E1,3.601188660E1,5.014607844E1
1.112099583E0,3.086326599E1,1.723760986E1,3.559626770E1,5.016742624E1
1.122154583E0,2.991221619E1,1.982880783E1,3.489762878E1,5.005763470E1
1.132208583E0,2.903526306E1,2.217866516E1,3.439002991E1,5.017582930E1
1.142263833E0,2.795687866E1,2.435597229E1,3.377645874E1,5.015625201E1
1.152318833E0,2.693371582E1,2.644119263E1,3.326574707E1,5.031075078E1
1.162372833E0,2.574847412E1,2.832152939E1,3.263804626E1,5.030243543E1
1.172427833E0,2.466098022E1,2.996826744E1,3.196214294E1,5.027762505E1
1.182481833E0,2.364588928E1,3.183856773E1,3.112184143E1,5.041221568E1
1.192536833E0,2.284039307E1,3.350481796E1,3.042030334E1,5.069172751E1
1.202590833E0,2.188752747E1,3.490026855E1,2.944219971E1,5.063532095E1
1.212645833E0,2.087750244E1,3.630815125E1,2.862274170E1,5.072882117E1
1.222699833E0,1.994316101E1,3.743899536E1,2.780421448E1,5.071964499E1
1.232753833E0,1.882319641E1,3.832026672E1,2.745983887E1,5.076217406E1
1.242808833E0,1.761543274E1,3.893815994E1,2.720639038E1,5.066232770E1
1.252862833E0,1.625718689E1,3.945214081E1,2.759466553E1,5.081567775E1
1.262917833E0,1.496516418E1,3.967811966E1,2.797871399E1,5.080470210E1
1.272971833E0,1.344322205E1,3.989219284E1,2.846229553E1,5.081544584E1
1.283026833E0,1.178434753E1,3.999187088E1,2.916960144E1,5.088306429E1
1.293080833E0,1.019233704E1,4.000556946E1,2.992634583E1,5.098936650E1
1.303135833E0,8.770675659E0,3.977655411E1,3.042425537E1,5.084028248E1
1.313189833E0,7.435836792E0,3.950808716E1,3.086231995E1,5.068198311E1
1.323243833E0,5.955703735E0,3.915958405E1,3.173164368E1,5.075274022E1
1.333298833E0,4.682067871E0,3.865528488E1,3.264982605E1,5.081499729E1
1.343352833E0,3.231346130E0,3.767913818E1,3.360902405E1,5.059373034E1
1.353407833E0,1.853012085E0,3.676680374E1,3.504211426E1,5.082500647E1
1.363461833E0,8.966827393E-2,3.555423355E1,3.625854492E1,5.078182395E1
1.373516833E0,-1.847541809E0,3.422848511E1,3.736756897E1,5.070836040E1
1.383570833E0,-3.790390015E0,3.256206512E1,3.869609070E1,5.071530910E1
1.393625833E0,-5.848159790E0,3.079706573E1,3.975552368E1,5.062767913E1
1.403679833E0,-7.961288452E0,2.876091385E1,4.083007812E1,5.057338785E1
1.413733833E0,-1.019810486E1,2.674733925E1,4.176429749E1,5.063277638E1
1.423788833E0,-1.235849762E1,2.448869705E1,4.248908997E1,5.057421787E1
1.433842833E0,-1.423748016E1,2.226843834E1,4.326731873E1,5.070157845E1
1.443897833E0,-1.423748016E1,2.226843834E1,4.326731873E1,5.070157845E1
1.453951833E0,-1.580964661E1,1.982168198E1,4.366096497E1,5.048884891E1
1.464006833E0,-1.731806946E1,1.732591057E1,4.405653381E1,5.040913487E1
1.474060833E0,-1.867730713E1,1.466725922E1,4.444200134E1,5.038910376E1
1.484115833E0,-2.000395203E1,1.164937782E1,4.488037109E1,5.049865156E1
1.494169833E0,-2.096585846E1,8.560989380E0,4.506365967E1,5.043402802E1
1.504223833E0,-2.198324585E1,5.221561432E0,4.503085327E1,5.038159930E1
1.514278833E0,-2.274418640E1,1.574344635E0,4.480244446E1,5.026962906E1
1.524332833E0,-2.371595001E1,-2.113079071E0,4.425782776E1,5.025601164E1
1.534387833E0,-2.444831085E1,-6.097774506E0,4.322457886E1,5.003265908E1
1.544441833E0,-2.531542969E1,-1.019971085E1,4.194517517E1,5.004300952E1
1.554496833E0,-2.571600342E1,-1.442357254E1,4.047801208E1,5.007815631E1
1.564550833E0,-2.594821167E1,-1.864458466E1,3.842144775E1,4.997137054E1
1.574605833E0,-2.608170319E1,-2.270647049E1,3.618261719E1,5.005018311E1
1.584659833E0,-2.599465179E1,-2.663130951E1,3.358224487E1,5.012699611E1
1.594713833E0,-2.584779358E1,-3.029462051E1,3.012277222E1,4.993249314E1
1.604768833E0,-2.578794861E1,-3.375815964E1,2.660281372E1,5.012326140E1
1.614822833E0,-2.562368774E1,-3.654442215E1,2.269407654E1,5.007084255E1
1.624877833E0,-2.555663300E1,-3.895746231E1,1.845257568E1,5.011310117E1
1.634931833E0,-2.531746674E1,-4.112916946E1,1.449995422E1,5.042649477E1
1.644986833E0,-2.462159729E1,-4.277347183E1,1.030012512E1,5.041711538E1
1.655040833E0,-2.376697540E1,-4.408741379E1,6.479278564E0,5.050297244E1
1.665095833E0,-2.268936157E1,-4.497632217E1,2.675231934E0,5.044634328E1
1.675149833E0,-2.127323914E1,-4.583959579E1,-7.907791138E-1,5.054151341E1
1.685203833E0,-1.994248962E1,-4.638111496E1,-4.407424927E0,5.067875405E1
1.695258833E0,-1.838359833E1,-4.655023575E1,-7.669311523E0,5.063298801E1
1.705312833E0,-1.707296753E1,-4.649056625E1,-1.114707947E1,5.076530657E1
1.715367833E0,-1.589024353E1,-4.604787064E1,-1.421585846E1,5.074442690E1
1.725421833E0,-1.489262390E1,-4.539516830E1,-1.726457214E1,5.079937995E1
1.735476833E0,-1.390903473E1,-4.446844101E1,-2.049985504E1,5.090331570E1
1.745530833E0,-1.307039642E1,-4.329317093E1,-2.354444885E1,5.098504667E1
1.755585833E0,-1.210416412E1,-4.187525558E1,-2.608405304E1,5.079789014E1
1.765639833E0,-1.120007324E1,-4.050965500E1,-2.914673615E1,5.114690623E1
1.775693833E0,-1.016799927E1,-3.872985458E1,-3.174663544E1,5.110028089E1
1.785748833E0,-9.025360107E0,-3.687172318E1,-3.433338165E1,5.118361252E1
1.795802833E0,-7.951278687E0,-3.487192154E1,-3.650868988E1,5.110927686E1
1.805857833E0,-6.871284485E0,-3.274180222E1,-3.861113739E1,5.108874723E1
1.815911833E0,-5.737358093E0,-3.058871078E1,-4.049264526E1,5.107093915E1
1.825966833E0,-4.620414734E0,-2.879479599E1,-4.193463898E1,5.107839518E1
1.836020833E0,-3.723136902E0,-2.708147812E1,-4.322512054E1,5.114371175E1
1.846075833E0,-2.953620911E0,-2.579773712E1,-4.415837860E1,5.122703893E1
1.856129833E0,-2.312133789E0,-2.454980087E1,-4.474685669E1,5.109128956E1
1.866183833E0,-1.599372864E0,-2.336848450E1,-4.558365631E1,5.124952472E1
1.876238833E0,-1.044281006E0,-2.215665436E1,-4.630788422E1,5.134615853E1
1.886292833E0,-3.451766968E-1,-2.089693069E1,-4.687432861E1,5.132254419E1
1.896347833E0,2.415542603E-1,-1.970819473E1,-4.734549713E1,5.128418262E1
1.906401833E0,5.910110474E-1,-1.837890625E1,-4.765518951E1,5.107984511E1
1.916456833E0,1.111701965E0,-1.706196594E1,-4.845783997E1,5.138588150E1
1.926510833E0,1.348518372E0,-1.569368744E1,-4.876943970E1,5.125005927E1
1.936565833E0,1.426780701E0,-1.417773056E1,-4.938545227E1,5.140006462E1
1.946619833E0,1.688148499E0,-1.258214951E1,-4.973475647E1,5.132939053E1
1.956673833E0,1.796089172E0,-1.117936707E1,-5.008653259E1,5.135041316E1
1.966728833E0,1.694465637E0,-9.685619354E0,-5.028109741E1,5.123349679E1
1.976782833E0,1.229522705E0,-8.039268494E0,-5.067928314E1,5.132768555E1
1.986837833E0,1.062652588E0,-6.732986450E0,-5.072057343E1,5.117654644E1
1.996891833E0,7.852859497E-1,-5.349830627E0,-5.114794159E1,5.143295919E1
2.006946833E0,3.605728149E-1,-4.013694763E0,-5.086236572E1,5.102176012E1
2.017000833E0,-1.426696777E-1,-2.665344238E0,-5.109656525E1,5.116623295E1
2.027054833E0,-5.481338501E-1,-1.536834717E0,-5.104865265E1,5.107472221E1
2.037109833E0,-9.992523193E-1,-3.693008423E-1,-5.124842834E1,5.125949957E1
2.047163833E0,-1.692680359E0,6.387557983E-1,-5.113371277E1,5.116570880E1
2.057218833E0,-2.269203186E0,1.672039032E0,-5.131213379E1,5.138949379E1
2.067272833E0,-2.899978638E0,2.639320374E0,-5.092823792E1,5.107897126E1
2.077327833E0,-3.626426697E0,3.424964905E0,-5.094777679E1,5.119137931E1
2.087381833E0,-4.369026184E0,4.281026840E0,-5.073400116E1,5.110141343E1
2.097436833E0,-5.125556946E0,5.094800949E0,-5.058918762E1,5.110278109E1
2.107490833E0,-6.087371826E0,5.658103943E0,-5.031111145E1,5.099292276E1
2.117544833E0,-6.795806885E0,5.990024567E0,-5.023429871E1,5.104457025E1
2.127599833E0,-7.430419922E0,5.949045181E0,-5.015726471E1,5.105245814E1
2.137653833E0,-8.344764709E0,5.736965179E0,-4.996656799E1,5.098240662E1
2.147707833E0,-9.070610046E0,5.580446243E0,-4.988539886E1,5.100951251E1
2.157761833E0,-9.969703674E0,5.255849838E0,-4.978349304E1,5.104326722E1
2.167816833E0,-1.081252289E1,4.804821014E0,-4.966082764E1,5.105090359E1
2.177870833E0,-1.195888519E1,4.126495361E0,-4.945888519E1,5.105119219E1
2.187925833E0,-1.308820343E1,3.294319153E0,-4.902689362E1,5.085066278E1
2.197979833E0,-1.427002716E1,2.508811951E0,-4.892113495E1,5.102161559E1
2.208033833E0,-1.551679993E1,1.412593842E0,-4.852468109E1,5.096480331E1
2.218088833E0,-1.683274841E1,3.139266968E-1,-4.809632111E1,5.095778717E1
2.228142833E0,-1.783808136E1,-8.226280212E-1,-4.759766388E1,5.083710722E1
2.238197833E0,-1.883399963E1,-2.154586792E0,-4.703177643E1,5.070847839E1
2.248251833E0,-1.966915131E1,-3.801513672E0,-4.646250916E1,5.059734950E1
2.258306833E0,-2.020561218E1,-5.925556183E0,-4.611012268E1,5.069045663E1
2.268360833E0,-2.063226318E1,-8.052497864E0,-4.564740753E1,5.073676005E1
2.278415833E0,-2.058731079E1,-1.074736404E1,-4.507073212E1,5.070220994E1
2.288469833E0,-2.049645996E1,-1.350928116E1,-4.423747253E1,5.059208955E1
2.298523833E0,-2.005046844E1,-1.665137863E1,-4.319396973E1,5.044807941E1
2.308578833E0,-1.955553436E1,-1.982564163E1,-4.198529816E1,5.038095128E1
2.318632833E0,-1.880216217E1,-2.306401825E1,-4.089247131E1,5.057335712E1
2.328687833E0,-1.795074463E1,-2.617424774E1,-3.927486420E1,5.049589523E1
2.338741833E0,-1.655250549E1,-2.940442276E1,-3.761238861E1,5.053016221E1
2.348796833E0,-1.474177551E1,-3.256732559E1,-3.526918030E1,5.021818117E1
2.358850833E0,-1.249794769E1,-3.529615402E1,-3.344905853E1,5.020813382E1
2.368905833E0,-9.824111938E0,-3.798417282E1,-3.148413086E1,5.030468225E1
2.378959833E0,-6.693687439E0,-4.026336288E1,-2.935846710E1,5.027786225E1
2.389013833E0,-2.983230591E0,-4.199831772E1,-2.759203339E1,5.033963312E1
2.399068833E0,8.349304199E-1,-4.343564987E1,-2.580145264E1,5.052789078E1
2.409122833E0,4.831497192E0,-4.437254715E1,-2.382041931E1,5.059326716E1
2.419177833E0,8.787948608E0,-4.460985184E1,-2.206919098E1,5.054024250E1
2.429231833E0,1.239367676E1,-4.423374557E1,-2.093119049E1,5.048110742E1
2.439286833E0,1.623123169E1,-4.364003372E1,-1.947714996E1,5.047043487E1
2.449340833E0,1.972477722E1,-4.286223984E1,-1.816293335E1,5.055819012E1
2.459395833E0,2.288755798E1,-4.156647873E1,-1.729584503E1,5.050503658E1
2.469449833E0,2.606153870E1,-4.019407272E1,-1.636312103E1,5.062132961E1
2.479503833E0,2.885281372E1,-3.850110245E1,-1.549761200E1,5.054696556E1
2.489558833E0,3.145184326E1,-3.682839584E1,-1.456141663E1,5.057256212E1
2.499612833E0,3.385794067E1,-3.484379959E1,-1.378624725E1,5.050258538E1
2.509667833E0,3.623170471E1,-3.286543655E1,-1.293315887E1,5.059782549E1
2.519721833E0,3.848321533E1,-3.053310776E1,-1.229787445E1,5.064055931E1
2.529776833E0,4.047991943E1,-2.807178116E1,-1.155431366E1,5.059793414E1
2.539830833E0,4.227101135E1,-2.558805084E1,-1.067470551E1,5.055231038E1
2.549884833E0,4.392352295E1,-2.263045120E1,-1.005075073E1,5.042252255E1
2.559939833E0,4.537605286E1,-1.981587601E1,-9.427330017E0,5.040366719E1
2.569993833E0,4.664036560E1,-1.693901443E1,-8.973220825E0,5.042591204E1
2.580048833E0,4.762898254E1,-1.406938171E1,-8.506958008E0,5.038686153E1
2.590102833E0,4.837570190E1,-1.114529037E1,-8.024406433E0,5.028734563E1
2.600157833E0,4.895433044E1,-8.311267853E0,-7.582344055E0,5.023042488E1
2.610211833E0,4.969670105E1,-5.680759430E0,-7.090209961E0,5.052033452E1
2.620266833E0,5.000688171E1,-2.854045868E0,-6.713005066E0,5.053610822E1
2.630320833E0,5.018370056E1,-2.259788513E-1,-6.241973877E0,5.057091166E1
2.640374833E0,4.993785095E1,2.264854431E0,-5.782592773E0,5.032252878E1
2.650429833E0,4.993785095E1,2.264854431E0,-5.782592773E0,5.032252878E1
2.660483833E0,4.984228516E1,4.689882278E0,-5.312110901E0,5.034348923E1
2.670538833E0,4.965931702E1,6.791200638E0,-4.768371582E0,5.034784544E1
2.680592833E0,4.948167419E1,8.698585510E0,-4.128639221E0,5.040979203E1
2.690647833E0,4.924827576E1,1.041077805E1,-3.563415527E0,5.046260888E1
2.700701833E0,4.886555481E1,1.194368362E1,-3.179389954E0,5.040439014E1
2.710756833E0,4.854101562E1,1.324833107E1,-2.557426453E0,5.038143412E1
2.720810833E0,4.826214600E1,1.467388916E1,-1.718406677E0,5.047287074E1
2.730864833E0,4.794772339E1,1.580986404E1,-6.900253296E-1,5.049170342E1
2.740919833E0,4.750061035E1,1.701977158E1,4.318847656E-1,5.045955938E1
2.750973833E0,4.710046387E1,1.810518646E1,1.770500183E0,5.049144625E1
2.761028833E0,4.649870300E1,1.927910042E1,3.215606689E0,5.043959972E1
2.771082833E0,4.575425720E1,2.063869858E1,4.634239197E0,5.040718306E1
