"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
5.088211019E1,6.342020620E1,1.040418198E1,4.322855841E1,8.400000000E1,1.199999928E0,1.878000031E2,8.942197317E-2,5.000000000E0,1.000000000E2,2.400000000E1
5.188106566E1,6.342019727E1,1.040417695E1,4.322854147E1,8.400000000E1,1.159999967E0,1.945000000E2,9.071085723E-2,5.000000000E0,1.000000000E2,2.300000000E1
5.287931027E1,6.342018595E1,1.040417134E1,4.422852122E1,8.500000000E1,1.100000024E0,1.906000061E2,9.169181061E-2,4.500000000E0,1.000000000E2,2.400000000E1
5.387509573E1,6.342017740E1,1.040416648E1,4.422850492E1,8.500000000E1,8.599999547E-1,2.013000031E2,9.245459909E-2,4.500000000E0,1.000000000E2,2.300000000E1
5.485599765E1,6.342017099E1,1.040416103E1,4.422848979E1,8.500000000E1,7.899999619E-1,2.216999969E2,9.318251320E-2,4.000000000E0,1.000000000E2,2.400000000E1
5.587356173E1,6.342016588E1,1.040415189E1,4.422846999E1,8.500000000E1,1.110000014E0,2.235000000E2,9.436542011E-2,4.000000000E0,1.000000000E2,2.400000000E1
5.686778527E1,6.342015528E1,1.040414996E1,4.422845640E1,8.500000000E1,9.099999666E-1,2.318000031E2,9.557838821E-2,4.000000000E0,1.000000000E2,2.400000000E1
5.789519554E1,6.342014476E1,1.040414351E1,4.422843558E1,8.500000000E1,7.599999905E-1,2.233999939E2,9.639273913E-2,4.000000000E0,1.000000000E2,2.400000000E1
5.887412096E1,6.342013977E1,1.040413152E1,4.422841130E1,8.500000000E1,1.009999990E0,2.263000031E2,9.767309710E-2,4.000000000E0,1.000000000E2,2.300000000E1
5.987882892E1,6.342013206E1,1.040411241E1,4.422837282E1,8.500000000E1,1.289999962E0,2.338999939E2,9.906391021E-2,4.000000000E0,1.000000000E2,2.300000000E1
6.087169657E1,6.342012556E1,1.040408853E1,4.522832782E1,8.600000000E1,1.379999995E0,2.350000000E2,1.003209020E-1,4.000000000E0,1.000000000E2,2.200000000E1
6.188851334E1,6.342011919E1,1.040406765E1,4.522828781E1,8.600000000E1,1.090000033E0,2.388000031E2,1.010887466E-1,4.000000000E0,1.000000000E2,2.400000000E1
6.288124607E1,6.342011894E1,1.040405223E1,4.522826266E1,8.600000000E1,7.899999619E-1,2.393999939E2,1.017231076E-1,4.000000000E0,1.000000000E2,2.400000000E1
6.387129803E1,6.342012041E1,1.040403991E1,4.522824420E1,8.600000000E1,4.499999881E-1,2.440000000E2,1.025628569E-1,4.500000000E0,1.000000000E2,2.400000000E1
6.487910311E1,6.342012468E1,1.040402600E1,4.522822595E1,8.600000000E1,1.240000010E0,2.890000000E2,1.037754473E-1,4.000000000E0,1.000000000E2,2.300000000E1
6.587763688E1,6.342013105E1,1.040400621E1,4.522820030E1,8.600000000E1,1.129999995E0,2.960000000E2,1.046490180E-1,4.000000000E0,1.000000000E2,2.300000000E1
6.687856707E1,6.342013248E1,1.040398895E1,4.522817382E1,8.600000000E1,9.499999881E-1,2.906000061E2,1.054457631E-1,4.000000000E0,1.000000000E2,2.400000000E1
6.787101841E1,6.342013231E1,1.040397294E1,4.522814779E1,8.600000000E1,1.019999981E0,2.742999878E2,1.060048737E-1,3.500000000E0,1.000000000E2,2.400000000E1
6.887790230E1,6.342013143E1,1.040396187E1,4.622812905E1,8.700000000E1,9.799999595E-1,2.626000061E2,1.071596436E-1,4.000000000E0,1.000000000E2,2.400000000E1
6.987149407E1,6.342013059E1,1.040393874E1,4.622809086E1,8.700000000E1,1.149999976E0,2.612000122E2,1.081365459E-1,4.000000000E0,1.000000000E2,2.400000000E1
7.087170326E1,6.342013181E1,1.040391929E1,4.622806065E1,8.700000000E1,8.399999738E-1,2.696000061E2,1.089667442E-1,4.000000000E0,1.000000000E2,2.300000000E1
7.186788676E1,6.342013625E1,1.040390588E1,4.622804338E1,8.700000000E1,4.499999881E-1,2.718999939E2,1.096681965E-1,4.000000000E0,1.000000000E2,2.300000000E1
7.287131522E1,6.342014082E1,1.040391561E1,4.622806360E1,8.700000000E1,1.100000024E0,4.000000000E0,1.110203772E-1,3.500000000E0,1.000000000E2,2.300000000E1
7.387873810E1,6.342014761E1,1.040393815E1,4.622810672E1,8.700000000E1,1.189999938E0,5.700000000E1,1.125546059E-1,4.000000000E0,1.000000000E2,2.400000000E1
7.487755752E1,6.342015448E1,1.040396489E1,4.622815670E1,8.700000000E1,1.350000024E0,6.919999695E1,1.138841003E-1,4.000000000E0,1.000000000E2,2.400000000E1
7.587503772E1,6.342016299E1,1.040398367E1,4.622819543E1,8.700000000E1,1.139999986E0,6.740000153E1,1.150092208E-1,4.000000000E0,1.000000000E2,2.400000000E1
7.687681256E1,6.342016961E1,1.040400077E1,4.722822959E1,8.800000000E1,1.009999990E0,5.559999847E1,1.158459156E-1,4.000000000E0,1.000000000E2,2.400000000E1
7.787469337E1,6.342017439E1,1.040401376E1,4.722825529E1,8.800000000E1,7.500000000E-1,6.220000076E1,1.164917558E-1,4.000000000E0,1.000000000E2,2.400000000E1
7.887534906E1,6.342017736E1,1.040402491E1,4.722827623E1,8.800000000E1,6.800000072E-1,6.450000000E1,1.168727416E-1,4.000000000E0,1.000000000E2,2.300000000E1
7.987525371E1,6.342018025E1,1.040402901E1,4.722828572E1,8.800000000E1,4.799999893E-1,6.740000153E1,1.170834826E-1,3.500000000E0,1.000000000E2,2.300000000E1
8.086541498E1,6.342018172E1,1.040402633E1,4.722828284E1,8.800000000E1,1.199999973E-1,6.859999847E1,1.172979891E-1,4.000000000E0,1.000000000E2,2.100000000E1
8.187387040E1,6.342018113E1,1.040402222E1,4.722827563E1,8.800000000E1,1.999999881E-1,7.100000000E1,1.174844581E-1,4.000000000E0,1.000000000E2,2.200000000E1
8.285746256E1,6.342018000E1,1.040401946E1,4.722827004E1,8.800000000E1,1.999999955E-2,7.109999847E1,1.176876018E-1,4.500000000E0,1.000000000E2,2.100000000E1
8.386874321E1,6.342017820E1,1.040402013E1,4.722826934E1,8.800000000E1,0.000000000E0,0.000000000E0,1.176876018E-1,4.000000000E0,1.000000000E2,2.300000000E1
8.487200532E1,6.342017820E1,1.040402013E1,4.722826934E1,8.800000000E1,0.000000000E0,0.000000000E0,1.184593778E-1,4.500000000E0,1.000000000E2,2.400000000E1
8.588165509E1,6.342017414E1,1.040400756E1,4.722824502E1,8.800000000E1,4.599999785E-1,4.640000153E1,1.188491062E-1,4.500000000E0,1.000000000E2,2.200000000E1
8.687621025E1,6.342017095E1,1.040400429E1,4.722823660E1,8.800000000E1,3.100000024E-1,2.460000038E1,1.191065266E-1,4.500000000E0,1.000000000E2,2.300000000E1
8.786863898E1,6.342016869E1,1.040400538E1,4.722823612E1,8.800000000E1,1.499999911E-1,2.379999924E1,1.192398174E-1,4.500000000E0,1.000000000E2,2.400000000E1
8.888556117E1,6.342016772E1,1.040400378E1,4.722823260E1,8.800000000E1,0.000000000E0,0.000000000E0,1.192398174E-1,4.000000000E0,1.000000000E2,2.300000000E1
8.986581797E1,6.342016772E1,1.040400378E1,4.722823260E1,8.800000000E1,0.000000000E0,0.000000000E0,1.192398174E-1,4.500000000E0,1.000000000E2,2.400000000E1
9.088803674E1,6.342016772E1,1.040400378E1,4.722823260E1,8.800000000E1,0.000000000E0,0.000000000E0,1.192398174E-1,4.500000000E0,1.000000000E2,2.400000000E1
9.188047528E1,6.342016772E1,1.040400378E1,4.722823260E1,8.800000000E1,0.000000000E0,0.000000000E0,1.192398174E-1,4.500000000E0,1.000000000E2,2.300000000E1
9.287805005E1,6.342016772E1,1.040400378E1,4.722823260E1,8.800000000E1,0.000000000E0,0.000000000E0,1.192398174E-1,4.500000000E0,1.000000000E2,2.300000000E1
9.385760855E1,6.342016772E1,1.040400378E1,4.722823260E1,8.800000000E1,0.000000000E0,0.000000000E0,1.192398174E-1,4.500000000E0,1.000000000E2,2.400000000E1
9.487650862E1,6.342016772E1,1.040400378E1,4.722823260E1,8.800000000E1,0.000000000E0,0.000000000E0,1.192398174E-1,4.500000000E0,1.000000000E2,2.400000000E1
9.587435828E1,6.342016772E1,1.040400378E1,4.722823260E1,8.800000000E1,0.000000000E0,0.000000000E0,1.192398174E-1,4.500000000E0,1.000000000E2,2.400000000E1
9.687979385E1,6.342016772E1,1.040400378E1,4.722823260E1,8.800000000E1,0.000000000E0,0.000000000E0,1.192398174E-1,4.500000000E0,1.000000000E2,2.400000000E1
9.787446901E1,6.342016772E1,1.040400378E1,4.722823260E1,8.800000000E1,0.000000000E0,0.000000000E0,1.192398174E-1,4.500000000E0,1.000000000E2,2.300000000E1
9.887476958E1,6.342016772E1,1.040400378E1,4.722823260E1,8.800000000E1,0.000000000E0,0.000000000E0,1.192398174E-1,4.000000000E0,1.000000000E2,2.400000000E1
9.988709631E1,6.342016772E1,1.040400378E1,4.722823260E1,8.800000000E1,0.000000000E0,0.000000000E0,1.192398174E-1,4.000000000E0,1.000000000E2,2.400000000E1
1.008757456E2,6.342016772E1,1.040400378E1,4.722823260E1,8.800000000E1,0.000000000E0,0.000000000E0,1.192398174E-1,4.000000000E0,1.000000000E2,2.400000000E1
1.018748412E2,6.342016772E1,1.040400378E1,4.722823260E1,8.800000000E1,0.000000000E0,0.000000000E0,1.192398174E-1,4.500000000E0,1.000000000E2,2.400000000E1
1.028803339E2,6.342016772E1,1.040400378E1,4.722823260E1,8.800000000E1,0.000000000E0,0.000000000E0,1.192398174E-1,4.500000000E0,1.000000000E2,2.400000000E1
1.038811350E2,6.342016772E1,1.040400378E1,4.722823260E1,8.800000000E1,0.000000000E0,0.000000000E0,1.192398174E-1,4.500000000E0,1.000000000E2,2.400000000E1
1.048697946E2,6.342016772E1,1.040400378E1,4.722823260E1,8.800000000E1,0.000000000E0,0.000000000E0,1.192398174E-1,4.000000000E0,1.000000000E2,2.400000000E1
1.058915797E2,6.342016772E1,1.040400378E1,4.722823260E1,8.800000000E1,0.000000000E0,0.000000000E0,1.192398174E-1,4.000000000E0,1.000000000E2,2.400000000E1
1.068694645E2,6.342016772E1,1.040400378E1,4.722823260E1,8.800000000E1,0.000000000E0,0.000000000E0,1.192398174E-1,4.500000000E0,1.000000000E2,2.300000000E1
1.078714162E2,6.342016772E1,1.040400378E1,4.722823260E1,8.800000000E1,0.000000000E0,0.000000000E0,1.192398174E-1,4.000000000E0,1.000000000E2,2.300000000E1
1.088690675E2,6.342016772E1,1.040400378E1,4.722823260E1,8.800000000E1,0.000000000E0,0.000000000E0,1.192398174E-1,4.000000000E0,1.000000000E2,2.000000000E1
1.098721282E2,6.342016772E1,1.040400378E1,4.722823260E1,8.800000000E1,0.000000000E0,0.000000000E0,1.192398174E-1,4.500000000E0,1.000000000E2,2.300000000E1
1.108543527E2,6.342016772E1,1.040400378E1,4.722823260E1,8.800000000E1,0.000000000E0,0.000000000E0,1.192398174E-1,4.500000000E0,1.000000000E2,2.300000000E1
1.118713511E2,6.342016772E1,1.040400378E1,4.722823260E1,8.800000000E1,0.000000000E0,0.000000000E0,1.192398174E-1,4.500000000E0,1.000000000E2,2.400000000E1
1.128849856E2,6.342016772E1,1.040400378E1,4.722823260E1,8.800000000E1,0.000000000E0,0.000000000E0,1.192398174E-1,4.000000000E0,1.000000000E2,2.400000000E1
1.138725803E2,6.342016772E1,1.040400378E1,4.722823260E1,8.800000000E1,0.000000000E0,0.000000000E0,1.192398174E-1,4.500000000E0,1.000000000E2,2.200000000E1
1.148815127E2,6.342016772E1,1.040400378E1,4.722823260E1,8.800000000E1,0.000000000E0,0.000000000E0,1.192398174E-1,4.000000000E0,1.000000000E2,2.400000000E1
1.158810654E2,6.342016772E1,1.040400378E1,4.722823260E1,8.800000000E1,0.000000000E0,0.000000000E0,1.192398174E-1,4.500000000E0,1.000000000E2,2.300000000E1
1.168763178E2,6.342016772E1,1.040400378E1,4.722823260E1,8.800000000E1,0.000000000E0,0.000000000E0,1.192398174E-1,4.000000000E0,1.000000000E2,2.300000000E1
1.178812834E2,6.342016772E1,1.040400378E1,4.722823260E1,8.800000000E1,0.000000000E0,0.000000000E0,1.192398174E-1,4.000000000E0,1.000000000E2,2.400000000E1
1.188712678E2,6.342016772E1,1.040400378E1,4.722823260E1,8.800000000E1,0.000000000E0,0.000000000E0,1.192398174E-1,4.500000000E0,1.000000000E2,2.400000000E1
1.198798360E2,6.342016772E1,1.040400378E1,4.722823260E1,8.800000000E1,0.000000000E0,0.000000000E0,1.192398174E-1,4.500000000E0,1.000000000E2,2.400000000E1
1.208764912E2,6.342016772E1,1.040400378E1,4.722823260E1,8.800000000E1,0.000000000E0,0.000000000E0,1.192398174E-1,4.500000000E0,1.000000000E2,2.400000000E1
1.218788819E2,6.342016772E1,1.040400378E1,4.722823260E1,8.800000000E1,0.000000000E0,0.000000000E0,1.192398174E-1,4.000000000E0,1.000000000E2,2.300000000E1
1.228674862E2,6.342016772E1,1.040400378E1,4.722823260E1,8.800000000E1,0.000000000E0,0.000000000E0,1.192398174E-1,4.000000000E0,1.000000000E2,2.300000000E1
1.238777575E2,6.342016772E1,1.040400378E1,4.722823260E1,8.800000000E1,0.000000000E0,0.000000000E0,1.192398174E-1,4.500000000E0,1.000000000E2,2.300000000E1
1.248757552E2,6.342016772E1,1.040400378E1,4.722823260E1,8.800000000E1,0.000000000E0,0.000000000E0,1.192398174E-1,4.000000000E0,1.000000000E2,2.300000000E1
1.258731229E2,6.342016772E1,1.040400378E1,4.722823260E1,8.800000000E1,0.000000000E0,0.000000000E0,1.192398174E-1,4.500000000E0,1.000000000E2,2.400000000E1
1.268759907E2,6.342016772E1,1.040400378E1,4.722823260E1,8.800000000E1,0.000000000E0,0.000000000E0,1.192398174E-1,4.500000000E0,1.000000000E2,2.400000000E1
1.278698327E2,6.342016772E1,1.040400378E1,4.722823260E1,8.800000000E1,0.000000000E0,0.000000000E0,1.192398174E-1,4.000000000E0,1.000000000E2,2.300000000E1
1.288876421E2,6.342016772E1,1.040400378E1,4.722823260E1,8.800000000E1,0.000000000E0,0.000000000E0,1.192398174E-1,4.000000000E0,1.000000000E2,2.400000000E1
1.298689648E2,6.342016772E1,1.040400378E1,4.722823260E1,8.800000000E1,0.000000000E0,0.000000000E0,1.192398174E-1,4.000000000E0,1.000000000E2,2.400000000E1
1.308722595E2,6.342016772E1,1.040400378E1,4.722823260E1,8.800000000E1,0.000000000E0,0.000000000E0,1.192398174E-1,4.500000000E0,1.000000000E2,2.400000000E1
1.318764739E2,6.342016772E1,1.040400378E1,4.722823260E1,8.800000000E1,0.000000000E0,0.000000000E0,1.192398174E-1,4.000000000E0,1.000000000E2,2.400000000E1
1.328743522E2,6.342016772E1,1.040400378E1,4.722823260E1,8.800000000E1,0.000000000E0,0.000000000E0,1.192398174E-1,4.000000000E0,1.000000000E2,2.300000000E1
1.338908171E2,6.342016772E1,1.040400378E1,4.722823260E1,8.800000000E1,0.000000000E0,0.000000000E0,1.192398174E-1,4.000000000E0,1.000000000E2,2.400000000E1
1.348722070E2,6.342016772E1,1.040400378E1,4.722823260E1,8.800000000E1,0.000000000E0,0.000000000E0,1.194377892E-1,4.500000000E0,1.000000000E2,2.200000000E1
1.358741015E2,6.342016697E1,1.040400739E1,4.722823767E1,8.800000000E1,2.099999934E-1,3.550000000E1,1.194866272E-1,4.000000000E0,1.000000000E2,2.300000000E1
1.368802559E2,6.342016659E1,1.040400789E1,4.722823811E1,8.800000000E1,0.000000000E0,0.000000000E0,1.194928809E-1,4.000000000E0,1.000000000E2,2.300000000E1
1.378807274E2,6.342016663E1,1.040400798E1,4.722823829E1,8.800000000E1,0.000000000E0,0.000000000E0,NaN,4.000000000E0,1.000000000E2,2.300000000E1
