"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.678801039898601E9,"2023-03-14 14:37:19.899 UTC+01:00"
"PAUSE",4.739009766666669E1,1.678801087288089E9,"2023-03-14 14:38:07.288 UTC+01:00"
