"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
7.344039581E-1,1.867858887E0,-6.045411682E1,-9.646240234E0,6.124735985E1
7.443779581E-1,1.553283691E0,-6.070317078E1,-9.387145996E0,6.144433369E1
7.543519582E-1,6.997070312E-1,-6.054495239E1,-8.812500000E0,6.118693493E1
7.643259582E-1,7.440185547E-2,-6.082902527E1,-8.853027344E0,6.146992715E1
7.743009580E-1,-1.092956543E0,-6.054545593E1,-8.361999512E0,6.112994212E1
7.842749581E-1,-2.361389160E0,-6.035856628E1,-8.048828125E0,6.093862746E1
7.942489581E-1,-3.749084473E0,-6.048768616E1,-7.248565674E0,6.103570689E1
8.042229582E-1,-5.250976562E0,-6.038935852E1,-5.845672607E0,6.089843402E1
8.141969582E-1,-6.786254883E0,-5.993937683E1,-5.262268066E0,6.055141299E1
8.241709583E-1,-8.120910645E0,-5.978831482E1,-4.109985352E0,6.047713418E1
8.341449583E-1,-9.114074707E0,-5.944905090E1,-3.357269287E0,6.023725814E1
8.441189583E-1,-1.068029785E1,-5.913745117E1,-2.027557373E0,6.012834508E1
8.540929579E-1,-1.226702881E1,-5.902038574E1,-1.050842285E0,6.029087989E1
8.640669580E-1,-1.355670166E1,-5.793090820E1,-8.151245117E-2,5.949605810E1
8.740409580E-1,-1.464093018E1,-5.780259705E1,9.781799316E-1,5.963601175E1
8.840149581E-1,-1.602130127E1,-5.719161987E1,2.303649902E0,5.943795320E1
8.939889581E-1,-1.707519531E1,-5.619624329E1,3.416107178E0,5.883238770E1
9.039629581E-1,-1.789062500E1,-5.554469299E1,4.884033203E0,5.855886921E1
9.139369582E-1,-1.881842041E1,-5.491319275E1,5.883270264E0,5.834556156E1
9.239109582E-1,-1.977075195E1,-5.416073608E1,6.732055664E0,5.804815707E1
9.338849583E-1,-2.043316650E1,-5.333081055E1,7.785736084E0,5.763945986E1
9.438589583E-1,-2.106744385E1,-5.281948853E1,8.658721924E0,5.752137884E1
9.538329584E-1,-2.148803711E1,-5.209523010E1,1.027148438E1,5.728134190E1
9.638069579E-1,-2.248132324E1,-5.147421265E1,1.151458740E1,5.733751115E1
9.737809580E-1,-2.288610840E1,-5.090220642E1,1.258352661E1,5.721148240E1
9.837559583E-1,-2.299517822E1,-5.025881958E1,1.322103882E1,5.682889260E1
9.937299583E-1,-2.295904541E1,-4.956034851E1,1.354354858E1,5.627409367E1
1.003703958E0,-2.310699463E1,-4.871536255E1,1.361016846E1,5.560896002E1
1.013677958E0,-2.284869385E1,-4.810025024E1,1.346273804E1,5.492669842E1
1.023651958E0,-2.267034912E1,-4.761941528E1,1.306518555E1,5.433463458E1
1.033625958E0,-2.240936279E1,-4.722070312E1,1.285339355E1,5.382549647E1
1.043599958E0,-2.212890625E1,-4.698025513E1,1.241488647E1,5.339440298E1
1.053573958E0,-2.207281494E1,-4.662016296E1,1.186193848E1,5.292782197E1
1.063547958E0,-2.140881348E1,-4.652816772E1,1.168490601E1,5.253327245E1
1.073521958E0,-2.082220459E1,-4.681880188E1,1.100714111E1,5.240917447E1
1.083495958E0,-2.046533203E1,-4.732858276E1,1.099676514E1,5.272336678E1
1.093469958E0,-1.945983887E1,-4.820675659E1,9.523132324E0,5.285136478E1
1.103443958E0,-1.891882324E1,-4.932678223E1,8.361083984E0,5.348795232E1
1.113417958E0,-1.858892822E1,-5.022647095E1,8.048309326E0,5.415738102E1
1.123391958E0,-1.778851318E1,-5.200779724E1,6.650268555E0,5.536667090E1
1.133365958E0,-1.665966797E1,-5.347314453E1,5.312561035E0,5.625962165E1
1.143339958E0,-1.549194336E1,-5.524966431E1,3.976684570E0,5.751816874E1
1.153313958E0,-1.419464111E1,-5.737339783E1,2.426635742E0,5.915304874E1
1.163287958E0,-1.291601562E1,-5.963063049E1,1.221099854E0,6.102562279E1
1.173262958E0,-1.107867432E1,-6.213783264E1,-1.400451660E-1,6.311788085E1
1.183236958E0,-9.216247559E0,-6.456362915E1,-1.581970215E0,6.523729039E1
1.193210958E0,-7.407714844E0,-6.666531372E1,-2.968414307E0,6.714126731E1
1.203184958E0,-4.949157715E0,-6.927117920E1,-4.027557373E0,6.956444241E1
1.213158958E0,-2.778503418E0,-7.139151001E1,-4.269012451E0,7.157298548E1
1.223132958E0,-1.657104492E-1,-7.332260132E1,-5.002929688E0,7.349326928E1
1.233106958E0,2.375000000E0,-7.535293579E1,-5.387237549E0,7.558258983E1
1.243080958E0,4.775390625E0,-7.671990967E1,-5.659179688E0,7.707642447E1
1.253054958E0,7.410400391E0,-7.818554688E1,-6.334869385E0,7.879101690E1
1.263028958E0,1.010125732E1,-7.879211426E1,-6.589996338E0,7.970985335E1
1.273002958E0,1.265942383E1,-7.937335205E1,-6.458648682E0,8.063562594E1
1.282976958E0,1.534906006E1,-7.990982056E1,-6.473876953E0,8.162771679E1
1.292950958E0,1.802581787E1,-7.987265015E1,-6.230865479E0,8.211817117E1
1.302924958E0,2.068182373E1,-8.011614990E1,-6.592224121E0,8.300477533E1
1.312898958E0,2.309283447E1,-7.966180420E1,-6.530944824E0,8.319816881E1
1.322872958E0,2.573760986E1,-7.930264282E1,-6.803955078E0,8.365182320E1
1.332846958E0,2.824639893E1,-7.841900635E1,-6.510070801E0,8.360490793E1
1.342820958E0,3.042266846E1,-7.753811646E1,-6.308715820E0,8.353142016E1
1.352794958E0,3.246240234E1,-7.642086792E1,-6.199584961E0,8.326098410E1
1.362769958E0,3.446594238E1,-7.505648804E1,-6.367156982E0,8.283669639E1
