"event","experiment time","system time","system time text"
"START",0.000000000E0,1678800181.151,"2023-03-14 14:23:01.151 UTC+01:00"
"PAUSE",1.131924510E2,1678800294.343,"2023-03-14 14:24:54.343 UTC+01:00"
