"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.678799904699190E9,"2023-03-14 14:18:24.699 UTC+01:00"
"PAUSE",9.594151116628200E1,1.678800000639921E9,"2023-03-14 14:20:00.640 UTC+01:00"
