"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.678800366865307E9,"2023-03-14 14:26:06.865 UTC+01:00"
"PAUSE",1.021565937083214E2,1.678800469021018E9,"2023-03-14 14:27:49.021 UTC+01:00"
