"event","experiment time","system time","system time text"
"START",0.000000000E0,1678800791.698,"2023-03-14 14:33:11.698 UTC+01:00"
"PAUSE",1.388480435E2,1678800930.546,"2023-03-14 14:35:30.546 UTC+01:00"
