"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
6.444197500E-1,1.784980774E0,-2.427540970E1,-4.391773224E1,5.021203917E1
6.544737500E-1,1.316459656E0,-2.476259613E1,-4.366725922E1,5.021701664E1
6.645277500E-1,4.683685303E-1,-2.527698135E1,-4.328453827E1,5.012680330E1
6.745827500E-1,-2.350921631E-1,-2.636729813E1,-4.297116852E1,5.041637633E1
6.846367500E-1,-1.212532043E0,-2.744065094E1,-4.234819794E1,5.047602824E1
6.946917500E-1,-2.124839783E0,-2.853780746E1,-4.138105774E1,5.031215895E1
7.047457500E-1,-3.032218933E0,-2.983346939E1,-4.010438538E1,5.007586219E1
7.148007500E-1,-3.832893372E0,-3.139774704E1,-3.917437744E1,5.035018807E1
7.248547500E-1,-4.752944946E0,-3.299374008E1,-3.767587280E1,5.030555398E1
7.349087500E-1,-5.783843994E0,-3.441344070E1,-3.602479553E1,5.015499622E1
7.449637500E-1,-6.536949158E0,-3.582073593E1,-3.441944885E1,5.010544168E1
7.550177500E-1,-7.145812988E0,-3.703796768E1,-3.303780365E1,5.014349572E1
7.650727500E-1,-7.563117981E0,-3.841024399E1,-3.141164398E1,5.019202102E1
7.751267500E-1,-7.905403137E0,-3.968847275E1,-2.976412964E1,5.023518370E1
7.851807500E-1,-7.913200378E0,-4.083155441E1,-2.794501495E1,5.010746887E1
7.952357500E-1,-8.125366211E0,-4.189312363E1,-2.599820709E1,4.996961232E1
8.052897500E-1,-8.247962952E0,-4.303425217E1,-2.412503815E1,5.001992821E1
8.153447500E-1,-8.452522278E0,-4.401144028E1,-2.218963623E1,5.000831895E1
8.253987500E-1,-8.430076599E0,-4.487550735E1,-2.025171661E1,4.995006884E1
8.354537500E-1,-8.606208801E0,-4.588139725E1,-1.795269775E1,5.001468584E1
8.455077500E-1,-8.749954224E0,-4.668709183E1,-1.580352783E1,5.005994141E1
8.555617500E-1,-8.739204407E0,-4.758834457E1,-1.302147675E1,5.010571913E1
8.656167500E-1,-8.605201721E0,-4.823671341E1,-1.035260010E1,5.007999946E1
8.756707500E-1,-8.343910217E0,-4.882410049E1,-7.446479797E0,5.008855846E1
8.857257500E-1,-8.096130371E0,-4.908676529E1,-4.377182007E0,4.994214228E1
8.957797500E-1,-7.714744568E0,-4.946313095E1,-1.325805664E0,5.007870174E1
9.058347500E-1,-7.232131958E0,-4.936275101E1,1.870887756E0,4.992479485E1
9.158887500E-1,-6.589653015E0,-4.933591080E1,5.269958496E0,5.005225353E1
9.259427500E-1,-6.036994934E0,-4.875725937E1,8.704147339E0,4.989466735E1
9.359977500E-1,-5.083106995E0,-4.828735733E1,1.207695007E1,5.003358450E1
9.460517500E-1,-3.940567017E0,-4.735111618E1,1.537570190E1,4.994064959E1
9.561067500E-1,-2.579307556E0,-4.614587784E1,1.844746399E1,4.976347854E1
9.661607500E-1,-1.070671082E0,-4.490745163E1,2.137811279E1,4.974785679E1
9.762157500E-1,6.494979858E-1,-4.360234451E1,2.413137817E1,4.983883734E1
9.862697500E-1,2.462669373E0,-4.203510666E1,2.678698730E1,4.990548688E1
9.963237500E-1,4.198089600E0,-4.045018387E1,2.893692017E1,4.991178899E1
1.006378750E0,5.939247131E0,-3.858286667E1,3.099325562E1,4.984470033E1
1.016432750E0,7.700904846E0,-3.666848373E1,3.301805115E1,4.994069820E1
1.026488125E0,9.369537354E0,-3.456439590E1,3.502243042E1,5.009048140E1
1.036542125E0,1.066940308E1,-3.228963852E1,3.671057129E1,5.004121264E1
1.046597125E0,1.178506470E1,-2.986550522E1,3.868974304E1,5.027655884E1
1.056651125E0,1.301828003E1,-2.708772278E1,3.988185120E1,4.993778524E1
1.066705125E0,1.441041565E1,-2.405198288E1,4.120539856E1,4.984017285E1
1.076760125E0,1.597456360E1,-2.106437302E1,4.240234375E1,4.996852257E1
1.086814125E0,1.760699463E1,-1.789527512E1,4.323353577E1,4.999385708E1
1.096869125E0,1.922099304E1,-1.484318542E1,4.360923767E1,4.991525155E1
1.106923125E0,2.078919983E1,-1.192640686E1,4.390719604E1,5.002271359E1
1.116977125E0,2.235581970E1,-9.159515381E0,4.408670044E1,5.027242338E1
1.127032125E0,2.355664062E1,-6.458538055E0,4.378065491E1,5.013355937E1
1.137086125E0,2.450910950E1,-4.040199280E0,4.359875488E1,5.017839262E1
1.147141125E0,2.517268372E1,-1.563571930E0,4.347964478E1,5.026517952E1
1.157195125E0,2.569056702E1,1.016078949E0,4.328149414E1,5.034208364E1
1.167250125E0,2.569056702E1,1.016078949E0,4.328149414E1,5.034208364E1
1.177304125E0,2.602931213E1,3.613183975E0,4.307658386E1,5.045961024E1
1.187358125E0,2.618879700E1,6.067138672E0,4.259437561E1,5.036808606E1
1.197413125E0,2.625152588E1,8.500185013E0,4.220831299E1,5.042754646E1
1.207467125E0,2.623774719E1,1.082928848E1,4.177384949E1,5.050492419E1
1.217522125E0,2.605824280E1,1.308570099E1,4.131837463E1,5.057149069E1
1.227576125E0,2.570986938E1,1.521616173E1,4.059414673E1,5.040251690E1
1.237631125E0,2.506532288E1,1.720966148E1,4.026536560E1,5.045535181E1
1.247685125E0,2.425782776E1,1.915762901E1,4.004331970E1,5.058581234E1
1.257739125E0,2.339352417E1,2.091878128E1,3.963768005E1,5.055687949E1
1.267794125E0,2.237258911E1,2.277452087E1,3.907987976E1,5.046234781E1
1.277848125E0,2.135258484E1,2.457336044E1,3.882226562E1,5.066508888E1
1.287903125E0,2.044732666E1,2.648580360E1,3.808291626E1,5.069417591E1
1.297957125E0,1.947897339E1,2.827269363E1,3.748530579E1,5.083231019E1
1.308012125E0,1.842256165E1,2.997540283E1,3.678427124E1,5.090184833E1
1.318066125E0,1.761630249E1,3.143703461E1,3.579983521E1,5.079615595E1
1.328120125E0,1.694338989E1,3.269945526E1,3.518510437E1,5.093451094E1
1.338175125E0,1.602485657E1,3.390961075E1,3.453770447E1,5.098539751E1
1.348229125E0,1.518367004E1,3.503498459E1,3.378958130E1,5.098754540E1
1.358284125E0,1.443646240E1,3.595547104E1,3.336137390E1,5.112913663E1
1.368338125E0,1.350695801E1,3.687535477E1,3.287887573E1,5.121767442E1
1.378393125E0,1.237971497E1,3.774972534E1,3.223562622E1,5.116087083E1
1.388447125E0,1.137223816E1,3.861712265E1,3.160554504E1,5.118125086E1
1.398501125E0,1.040162659E1,3.951086426E1,3.120826721E1,5.141262659E1
