"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
2.879210508E1,6.342023901E1,1.040430991E1,4.144862770E1,8.221983027E1,1.399999976E0,1.125000489E1,1.251197853E-1,4.654251613E0,4.654251613E0,-1.000000000E0
2.979209852E1,6.342025069E1,1.040429093E1,4.117704795E1,8.194826965E1,1.399999976E0,3.459374939E2,1.257668931E-1,4.654251674E0,4.654251674E0,-1.000000000E0
3.079209304E1,6.342024565E1,1.040428443E1,4.174870308E1,8.251994025E1,3.100000024E-1,3.266015594E2,1.270945583E-1,4.654251675E0,4.654251675E0,-1.000000000E0
3.179208553E1,6.342023839E1,1.040426325E1,4.177967846E1,8.255095700E1,6.999999881E-1,2.404687391E2,1.281931697E-1,4.654251654E0,4.654251654E0,-1.000000000E0
3.279207945E1,6.342022931E1,1.040425453E1,4.226631176E1,8.303761335E1,6.999999881E-1,2.053124946E2,1.327294925E-1,4.654251616E0,4.654251616E0,-1.000000000E0
3.379207301E1,6.342019657E1,1.040420014E1,4.535179524E1,8.612321702E1,8.896009141E-1,2.292328214E2,1.352057145E-1,4.753298865E0,4.753298865E0,-1.000000000E0
3.479206705E1,6.342017950E1,1.040416819E1,4.594185826E1,8.671334851E1,1.136603935E0,2.271366866E2,1.370871585E-1,4.753384161E0,4.753384161E0,-1.000000000E0
3.579206014E1,6.342016560E1,1.040414662E1,4.622616923E1,8.699770804E1,1.047018329E0,2.277401631E2,1.402855182E-1,4.751937715E0,4.751937715E0,-1.000000000E0
3.679205394E1,6.342019280E1,1.040416750E1,4.464620045E1,8.541767866E1,9.661331039E-1,2.351192888E2,1.419238222E-1,4.727795560E0,4.727795560E0,-1.000000000E0
3.779204655E1,6.342018651E1,1.040413773E1,4.493057809E1,8.570211060E1,1.129837353E0,2.382115952E2,1.432697494E-1,4.728112380E0,4.728112380E0,-1.000000000E0
3.879203999E1,6.342018211E1,1.040411252E1,4.450133268E1,8.527291025E1,1.024859443E0,2.479068020E2,1.442225931E-1,4.726706189E0,4.726706189E0,-1.000000000E0
3.979203320E1,6.342018393E1,1.040409381E1,4.460714827E1,8.537875427E1,8.113406599E-1,2.665717603E2,1.444949954E-1,4.726193574E0,4.726193574E0,-1.000000000E0
4.079202557E1,6.342018154E1,1.040409259E1,4.460399207E1,8.537560240E1,3.642303766E-1,2.732043884E2,1.450586341E-1,4.723852026E0,4.723852026E0,-1.000000000E0
4.179201925E1,6.342018154E1,1.040410392E1,4.392062134E1,8.469221337E1,0.000000000E0,2.732043984E2,1.452661794E-1,4.725216250E0,4.725216250E0,-1.000000000E0
4.279201198E1,6.342018278E1,1.040410704E1,4.413815718E1,8.490974294E1,0.000000000E0,2.732044008E2,1.454992566E-1,4.726094474E0,4.726094474E0,-1.000000000E0
4.379200518E1,6.342018278E1,1.040411172E1,4.369352235E1,8.446510054E1,0.000000000E0,2.732044049E2,1.456841760E-1,4.725258833E0,4.725258833E0,-1.000000000E0
4.479199767E1,6.342018114E1,1.040411226E1,4.386892867E1,8.464050762E1,0.000000000E0,2.732044060E2,1.458919180E-1,4.724488125E0,4.724488125E0,-1.000000000E0
4.579199088E1,6.342018013E1,1.040410875E1,4.368592587E1,8.445751149E1,0.000000000E0,2.732044032E2,1.459896622E-1,4.724349202E0,4.724349202E0,-1.000000000E0
4.679198384E1,6.342018005E1,1.040410679E1,4.401221253E1,8.478380138E1,0.000000000E0,2.732044015E2,1.461898288E-1,4.721193194E0,4.721193194E0,-1.000000000E0
4.779197645E1,6.342018039E1,1.040410284E1,4.441825395E1,8.518984885E1,0.000000000E0,2.732043979E2,1.463257902E-1,4.718648928E0,4.718648928E0,-1.000000000E0
4.879196942E1,6.342018043E1,1.040410011E1,4.501610302E1,8.578770230E1,0.000000000E0,2.732043955E2,1.463257902E-1,4.715031653E0,4.715031653E0,-1.000000000E0
4.979196215E1,6.342018043E1,1.040410011E1,4.501610302E1,8.578770230E1,0.000000000E0,2.732043955E2,1.463257902E-1,4.719050118E0,4.719050118E0,-1.000000000E0
