"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.678800720274995E9,"2023-03-14 14:32:00.275 UTC+01:00"
"PAUSE",1.134195207916667E2,1.678800833693557E9,"2023-03-14 14:33:53.694 UTC+01:00"
