"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.678801090207774E9,"2023-03-14 14:38:10.208 UTC+01:00"
"PAUSE",8.760143366666665E1,1.678801177808693E9,"2023-03-14 14:39:37.809 UTC+01:00"
