"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.678800928482520E9,"2023-03-14 14:35:28.483 UTC+01:00"
"PAUSE",9.053760645833336E1,1.678801019019369E9,"2023-03-14 14:36:59.019 UTC+01:00"
