"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.678799773720651E9,"2023-03-14 14:16:13.721 UTC+01:00"
"PAUSE",1.219811154583003E2,1.678799895703567E9,"2023-03-14 14:18:15.704 UTC+01:00"
