"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
6.330148336E-1,5.349731445E-1,-5.090133667E0,-5.131481934E1,5.156943223E1
6.429888336E-1,7.932739258E-1,-4.986373901E0,-5.134439087E1,5.159205057E1
6.529628336E-1,1.336975098E0,-4.942840576E0,-5.163232422E1,5.188560571E1
6.629368337E-1,1.910522461E0,-4.882110596E0,-5.144226074E1,5.170871581E1
6.729108337E-1,2.293884277E0,-4.781463623E0,-5.116775513E1,5.144184546E1
6.828848333E-1,3.096191406E0,-4.781051636E0,-5.130944824E1,5.162464852E1
6.928588334E-1,3.245849609E0,-4.855499268E0,-5.133374023E1,5.166492330E1
7.028328334E-1,3.771240234E0,-5.135208130E0,-5.135137939E1,5.174511360E1
7.128068334E-1,4.151916504E0,-5.733001709E0,-5.165042114E1,5.213321133E1
7.227818337E-1,4.041625977E0,-5.556396484E0,-5.136767578E1,5.182515217E1
7.327558333E-1,4.260864258E0,-5.780624390E0,-5.106808472E1,5.157053286E1
7.427298333E-1,4.454528809E0,-6.136260986E0,-5.103411865E1,5.159435815E1
7.527038334E-1,4.518371582E0,-6.615432739E0,-5.092202759E1,5.154835134E1
7.626778334E-1,4.287170410E0,-6.993667603E0,-5.069866943E1,5.135802079E1
7.726518335E-1,4.132019043E0,-7.389465332E0,-5.101004028E1,5.170785229E1
7.826258335E-1,3.779479980E0,-7.766845703E0,-5.084997559E1,5.157837122E1
7.925998336E-1,3.341613770E0,-7.805648804E0,-5.033346558E1,5.104461081E1
8.025738336E-1,3.498718262E0,-8.159713745E0,-5.108096313E1,5.184676222E1
8.125478337E-1,3.721557617E0,-8.338973999E0,-5.087622070E1,5.168924754E1
8.225218337E-1,3.673156738E0,-8.362548828E0,-5.069375610E1,5.151001079E1
8.324958333E-1,3.984985352E0,-8.420898438E0,-5.076446533E1,5.161223284E1
8.424708336E-1,3.896972656E0,-8.370727539E0,-5.061401367E1,5.144933290E1
8.524448336E-1,3.878479004E0,-8.232101440E0,-5.033090210E1,5.114694321E1
8.624188337E-1,3.924682617E0,-8.236297607E0,-5.023077393E1,5.105262365E1
8.723928337E-1,4.072570801E0,-8.441467285E0,-5.074551392E1,5.160379236E1
8.823668337E-1,3.742675781E0,-8.721679688E0,-5.074041748E1,5.162039601E1
8.923408333E-1,3.670288086E0,-8.824584961E0,-5.048220825E1,5.137896130E1
9.023148334E-1,3.470947266E0,-9.121551514E0,-5.040487671E1,5.134103401E1
9.122888334E-1,3.172302246E0,-9.270843506E0,-5.005612183E1,5.100615035E1
9.222628335E-1,3.089050293E0,-9.437042236E0,-5.029495239E1,5.126579985E1
9.322368335E-1,2.791320801E0,-9.488159180E0,-5.017288208E1,5.113838805E1
9.422108335E-1,3.132324219E0,-9.778259277E0,-5.079531860E1,5.182268038E1
9.521858334E-1,2.869262695E0,-1.002767944E1,-5.073376465E1,5.179480571E1
9.621598334E-1,2.601623535E0,-1.021569824E1,-5.032211304E1,5.141443373E1
9.721338334E-1,1.973754883E0,-1.024142456E1,-5.016650391E1,5.123924862E1
9.821078335E-1,1.518310547E0,-1.074127197E1,-5.000167847E1,5.116491024E1
9.920818335E-1,1.147827148E0,-1.116400146E1,-5.030996704E1,5.154653451E1
1.002055834E0,6.289062500E-1,-1.142968750E1,-5.027832031E1,5.156493744E1
1.012029834E0,3.231811523E-1,-1.153106689E1,-5.013702393E1,5.144697385E1
1.022003834E0,2.068481445E-1,-1.187075806E1,-5.014257812E1,5.152898043E1
1.031977834E0,1.679687500E-1,-1.194503784E1,-5.008959961E1,5.149446700E1
1.041951833E0,-1.154785156E-1,-1.216015625E1,-5.007659912E1,5.153201447E1
1.051925833E0,-8.242187500E-1,-1.225701904E1,-5.027188110E1,5.175109547E1
1.061900834E0,-1.222290039E0,-1.246722412E1,-5.049267578E1,5.202341759E1
1.071874834E0,-1.600341797E0,-1.256704712E1,-5.025820923E1,5.183029386E1
1.081848834E0,-1.624145508E0,-1.285269165E1,-4.986172485E1,5.151719263E1
1.091822833E0,-2.211059570E0,-1.310992432E1,-4.977999878E1,5.152482099E1
1.101796833E0,-2.493896484E0,-1.291839600E1,-4.950833130E1,5.122674441E1
1.111770833E0,-2.317626953E0,-1.297451782E1,-5.012786865E1,5.183158036E1
1.121744833E0,-2.267517090E0,-1.306164551E1,-5.019403076E1,5.191520915E1
1.131718833E0,-2.380004883E0,-1.261489868E1,-5.025329590E1,5.186707858E1
1.141692834E0,-2.698974609E0,-1.272598267E1,-5.018743896E1,5.184606184E1
1.151666834E0,-3.159912109E0,-1.260333252E1,-5.001065063E1,5.167101907E1
1.161640834E0,-3.701599121E0,-1.280014038E1,-5.006259155E1,5.180548719E1
1.171615833E0,-4.039306641E0,-1.269525146E1,-5.005612183E1,5.179865578E1
1.181589833E0,-4.405273438E0,-1.263711548E1,-5.021743774E1,5.197012772E1
1.191563834E0,-4.671813965E0,-1.248114014E1,-5.016314697E1,5.190323708E1
1.201537834E0,-5.192749023E0,-1.266024780E1,-4.987942505E1,5.172237002E1
1.211511584E0,-5.770263672E0,-1.256826782E1,-5.034347534E1,5.220845533E1
1.221485584E0,-6.158081055E0,-1.202130127E1,-5.020175171E1,5.198701300E1
1.231459584E0,-6.932800293E0,-1.169332886E1,-5.016387939E1,5.197318978E1
1.241433584E0,-7.440490723E0,-1.138867188E1,-5.024011230E1,5.204931924E1
1.251407584E0,-8.265502930E0,-1.066500854E1,-5.018743896E1,5.196960627E1
1.261381583E0,-8.758972168E0,-1.057025146E1,-5.029702759E1,5.213675089E1
1.271355583E0,-9.463378906E0,-1.041131592E1,-5.015179443E1,5.208794030E1
1.281330584E0,-9.669982910E0,-1.012371826E1,-5.010009766E1,5.201940048E1
1.291304584E0,-1.016442871E1,-9.976013184E0,-5.023135376E1,5.221135270E1
1.301278584E0,-1.044775391E1,-9.364257812E0,-4.964981079E1,5.159407522E1
1.311252583E0,-1.069891357E1,-8.986053467E0,-4.991961670E1,5.183805590E1
1.321226583E0,-1.069940186E1,-8.567398071E0,-5.036926270E1,5.220095913E1
1.331200583E0,-1.086468506E1,-7.591140747E0,-5.019317627E1,5.191359883E1
1.341174583E0,-1.078546143E1,-7.118209839E0,-5.014923096E1,5.178745461E1
1.351148583E0,-1.075219727E1,-6.306900024E0,-5.013522339E1,5.166166236E1
