"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.678800679474845E9,"2023-03-14 14:31:19.475 UTC+01:00"
"PAUSE",3.662162741666666E1,1.678800716096106E9,"2023-03-14 14:31:56.096 UTC+01:00"
