"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
7.236525833E-1,-1.127593994E1,-1.200018311E1,-4.841937256E1,5.114280844E1
7.336265833E-1,-1.153906250E1,-1.204946899E1,-4.830288696E1,5.110292120E1
7.436005833E-1,-1.182427979E1,-1.218936157E1,-4.864419556E1,5.152331404E1
7.535745833E-1,-1.239233398E1,-1.204946899E1,-4.821899414E1,5.122334468E1
7.635475833E-1,-1.237261963E1,-1.153109741E1,-4.831182861E1,5.118672394E1
7.735215833E-1,-1.207342529E1,-1.086389160E1,-4.849111938E1,5.113883454E1
7.834955833E-1,-1.175457764E1,-1.055999756E1,-4.887106323E1,5.136209171E1
7.934695833E-1,-1.172155762E1,-1.025555420E1,-4.895513916E1,5.137292045E1
8.034435833E-1,-1.190203857E1,-9.718353271E0,-4.912539673E1,5.147241510E1
8.134175833E-1,-1.224328613E1,-9.272399902E0,-4.877020264E1,5.113128319E1
8.233915833E-1,-1.228277588E1,-9.292633057E0,-4.885754395E1,5.122771918E1
8.333655833E-1,-1.312634277E1,-9.245483398E0,-4.871542358E1,5.129300472E1
8.433385833E-1,-1.379614258E1,-8.700531006E0,-4.808401489E1,5.077504582E1
8.533125833E-1,-1.406579590E1,-8.203735352E0,-4.784799194E1,5.054283551E1
8.632865833E-1,-1.442083740E1,-7.423583984E0,-4.834915161E1,5.099716278E1
8.732605833E-1,-1.469573975E1,-6.970443726E0,-4.841830444E1,5.107723620E1
8.832345833E-1,-1.476202393E1,-6.610061646E0,-4.885717773E1,5.146488202E1
8.932085833E-1,-1.488494873E1,-5.723861694E0,-4.851379395E1,5.106772459E1
9.031825833E-1,-1.510156250E1,-5.005889893E0,-4.859649658E1,5.113448546E1
9.131555833E-1,-1.521881104E1,-4.370147705E0,-4.889419556E1,5.139409265E1
9.231295833E-1,-1.533380127E1,-3.717407227E0,-4.879156494E1,5.127924909E1
9.331035833E-1,-1.542486572E1,-3.080307007E0,-4.899304199E1,5.145612634E1
9.430775833E-1,-1.592456055E1,-2.489242554E0,-4.926699829E1,5.183652262E1
9.530515833E-1,-1.652557373E1,-2.032363892E0,-4.855999756E1,5.133515806E1
9.630255833E-1,-1.726458740E1,-1.346099854E0,-4.831158447E1,5.132141032E1
9.729995833E-1,-1.738543701E1,-1.354660034E0,-4.779898071E1,5.088055700E1
9.829735833E-1,-1.762426758E1,-8.924407959E-1,-4.820388794E1,5.133250501E1
9.929465833E-1,-1.789617920E1,-5.887603760E-1,-4.791061401E1,5.114730495E1
1.002920583E0,-1.861566162E1,-1.591491699E-2,-4.741531372E1,5.093873856E1
1.012894583E0,-1.908099365E1,4.052276611E-1,-4.699380493E1,5.072145730E1
1.022868583E0,-1.944238281E1,5.564880371E-1,-4.722689819E1,5.107539370E1
1.032842583E0,-2.011590576E1,9.140014648E-1,-4.717022705E1,5.128855022E1
1.042816583E0,-2.086260986E1,1.000015259E0,-4.656155396E1,5.103162576E1
1.052790583E0,-2.153930664E1,1.570480347E0,-4.653897095E1,5.130578872E1
1.062763583E0,-2.196746826E1,2.056060791E0,-4.616757202E1,5.116875760E1
1.072737583E0,-2.235095215E1,2.447448730E0,-4.607186890E1,5.126570170E1
1.082711583E0,-2.253619385E1,2.553649902E0,-4.567825317E1,5.099905856E1
1.092685583E0,-2.281872559E1,2.935974121E0,-4.561859131E1,5.109178069E1
1.102659583E0,-2.342083740E1,3.207489014E0,-4.543560791E1,5.121736109E1
1.112633583E0,-2.364154053E1,3.175033569E0,-4.526211548E1,5.116309582E1
1.122607583E0,-2.345983887E1,3.040618896E0,-4.545443726E1,5.124173367E1
1.132580583E0,-2.401629639E1,3.021301270E0,-4.547573853E1,5.151653665E1
1.142554583E0,-2.435864258E1,2.966735840E0,-4.497103882E1,5.123025788E1
1.152528583E0,-2.449096680E1,2.719482422E0,-4.540216064E1,5.165809937E1
1.162502583E0,-2.484454346E1,2.682189941E0,-4.461608887E1,5.113747030E1
1.172476583E0,-2.543115234E1,2.394241333E0,-4.453244019E1,5.133823263E1
1.182450583E0,-2.583569336E1,1.990798950E0,-4.418249512E1,5.122049596E1
1.192424583E0,-2.593914795E1,1.792526245E0,-4.441519165E1,5.146612280E1
1.202397583E0,-2.609442139E1,1.314254761E0,-4.395751953E1,5.113618696E1
1.212371583E0,-2.652801514E1,9.060363770E-1,-4.366134644E1,5.109666977E1
